timestamp,pico_timestamp_ms,frame,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,raw_field_norm,accel_norm
1774623341.912889,9963980,88650,-0.117700000,0.245000000,0.057000000,0.002000000,0.064000000,-0.999000000,4.700000000,0.070000000,8.310000000,0.277718004,1.001049949
1774623342.018077,9964085,88651,-0.119300000,0.242300000,0.059300000,0.002000000,-0.029000000,-0.982000000,3.010000000,0.010000000,-30.290000000,0.276510886,0.982430150
1774623342.125089,9964193,88652,-0.126000000,0.224000000,0.097300000,0.049000000,0.078000000,-0.966000000,3.920000000,5.890000000,-27.340000000,0.274807733,0.970381884
1774623342.232485,9964299,88653,-0.103300000,0.184000000,0.158300000,0.438000000,0.000000000,-0.992000000,4.060000000,1.050000000,-15.630000000,0.263791167,1.084392918
1774623342.339363,9964405,88654,-0.081700000,0.129000000,0.220300000,0.070000000,0.033000000,-0.906000000,3.910000000,0.050000000,-27.360000000,0.268044735,0.909299181
1774623342.445708,9964512,88655,-0.080700000,0.056700000,0.275000000,0.157000000,0.065000000,-0.990000000,0.500000000,0.080000000,-21.310000000,0.292151296,1.004476978
1774623342.554425,9964619,88656,-0.104000000,-0.020700000,0.296700000,0.016000000,0.126000000,-0.998000000,2.750000000,1.700000000,0.030000000,0.315079958,1.006049701
1774623342.660631,9964726,88657,-0.137700000,-0.095000000,0.307700000,0.051000000,0.106000000,-1.867000000,4.900000000,3.980000000,17.740000000,0.350236463,1.870702007
1774623342.764727,9964831,88658,-0.162300000,-0.117300000,0.304300000,0.179000000,0.000000000,-0.969000000,3.980000000,1.100000000,2.330000000,0.364278836,0.985394337
1774623342.872206,9964938,88659,-0.209000000,-0.132300000,0.294000000,0.016000000,0.008000000,-1.000000000,9.780000000,32.530000000,16.140000000,0.384213860,1.000159987
1774623342.978028,9965045,88660,-0.250300000,-0.125000000,0.268300000,0.025000000,0.031000000,-1.920000000,16.640000000,4.890000000,0.040000000,0.387633822,1.920412976
1774623343.085244,9965151,88661,-0.285000000,-0.104000000,0.252300000,0.012000000,0.031000000,-0.998000000,6.840000000,2.270000000,19.630000000,0.394583692,0.998553454
1774623343.192446,9965258,88662,-0.303300000,-0.066700000,0.221700000,0.000000000,0.004000000,-0.998000000,16.160000000,4.030000000,28.090000000,0.381563455,0.998008016
1774623343.298061,9965364,88663,-0.310700000,-0.008300000,0.196000000,0.000000000,0.002000000,-0.937000000,9.900000000,0.520000000,36.400000000,0.367449833,0.937002134
1774623343.404393,9965469,88664,-0.295700000,0.045700000,0.178300000,0.000000000,0.012000000,-0.965000000,17.950000000,1.520000000,39.600000000,0.348307149,0.965074609
1774623343.509829,9965575,88665,-0.264300000,0.089000000,0.152700000,-0.061000000,0.095000000,-0.990000000,17.680000000,1.050000000,39.570000000,0.317950908,0.996416580
1774623343.614793,9965682,88666,-0.241000000,0.140000000,0.134000000,0.053000000,0.000000000,-0.997000000,18.080000000,3.930000000,34.820000000,0.309252324,0.998407732
1774623343.722242,9965787,88667,-0.208300000,0.181700000,0.108700000,0.001000000,0.202000000,-0.934000000,8.600000000,0.100000000,1.350000000,0.297017626,0.955594579
1774623343.827915,9965893,88668,-0.185000000,0.201700000,0.095000000,0.018000000,0.063000000,-0.933000000,8.030000000,0.180000000,6.960000000,0.289711736,0.935297814
1774623343.934114,9965999,88669,-0.167300000,0.196700000,0.111700000,0.022000000,-0.053000000,-0.966000000,3.820000000,2.080000000,4.470000000,0.281348663,0.967702950
1774623344.039967,9966105,88670,-0.154300000,0.186700000,0.126000000,0.018000000,0.016000000,-0.966000000,3.910000000,2.390000000,-26.860000000,0.273022673,0.966300160
1774623344.145203,9966212,88671,-0.142000000,0.161700000,0.173700000,0.406000000,0.019000000,-0.992000000,4.150000000,0.120000000,-31.010000000,0.276554841,1.072035914
1774623344.251531,9966318,88672,-0.119300000,0.105000000,0.226700000,0.002000000,0.035000000,-0.937000000,3.920000000,0.020000000,-5.860000000,0.276858050,0.937655587
1774623344.359249,9966425,88673,-0.104000000,0.038300000,0.273300000,0.047000000,0.009000000,-0.930000000,3.980000000,0.880000000,3.270000000,0.294916564,0.931230369
1774623344.464663,9966529,88674,-0.103300000,-0.020700000,0.301000000,0.056000000,0.016000000,-0.995000000,15.680000000,0.040000000,0.160000000,0.318904970,0.996703065
1774623344.573164,9966637,88675,-0.120300000,-0.060700000,0.307700000,0.000000000,0.017000000,-0.999000000,9.280000000,2.020000000,17.600000000,0.335910509,0.999144634
1774623344.681428,9966744,88676,-0.150300000,-0.085700000,0.307700000,0.004000000,0.008000000,-0.968000000,8.810000000,4.030000000,26.380000000,0.353006898,0.968041321
1774623344.785030,9966850,88677,-0.179000000,-0.105000000,0.295700000,0.024000000,0.251000000,-1.000000000,62.780000000,4.150000000,39.240000000,0.361254052,1.031298696
1774623344.890764,9966957,88678,-0.210000000,-0.107300000,0.286000000,0.188000000,0.125000000,-1.873000000,7.980000000,6.350000000,47.880000000,0.370687591,1.886557182
1774623344.997041,9967063,88679,-0.236000000,-0.066700000,0.263700000,0.189000000,-0.061000000,-1.860000000,15.630000000,2.930000000,0.030000000,0.360114676,1.870572640
1774623345.104589,9967169,88680,-0.260300000,0.011700000,0.220300000,0.062000000,0.048000000,-0.991000000,20.150000000,3.920000000,35.490000000,0.341211181,0.994097078
1774623345.208654,9967275,88681,-0.254300000,0.076700000,0.183300000,-0.070000000,0.188000000,-0.861000000,31.880000000,4.050000000,31.510000000,0.322723210,0.884061649
1774623345.316339,9967381,88682,-0.227700000,0.113300000,0.167000000,0.062000000,0.040000000,-1.875000000,7.950000000,0.670000000,2.950000000,0.304258410,1.876451172
1774623345.421186,9967487,88683,-0.203300000,0.170700000,0.132000000,0.166000000,0.002000000,-0.999000000,16.950000000,0.780000000,31.290000000,0.296468177,1.012699857
1774623345.526209,9967593,88684,-0.177300000,0.213300000,0.090000000,0.020000000,0.031000000,-0.977000000,62.560000000,0.000000000,8.310000000,0.291602778,0.977696272
1774623345.633614,9967697,88685,-0.158700000,0.231700000,0.056000000,0.442000000,0.014000000,-0.750000000,15.650000000,1.530000000,0.030000000,0.286367910,0.870666411
1774623345.740180,9967806,88686,-0.147000000,0.224000000,0.091700000,0.001000000,0.003000000,-0.992000000,4.440000000,1.370000000,7.860000000,0.283185257,0.992005040
1774623345.846954,9967912,88687,-0.133700000,0.195000000,0.140000000,0.438000000,0.193000000,-1.000000000,4.220000000,6.840000000,-10.990000000,0.274773889,1.108644668
1774623345.950014,9968017,88688,-0.107000000,0.135000000,0.206700000,0.047000000,0.066000000,-1.000000000,8.310000000,0.210000000,-13.600000000,0.269070418,1.003277130
1774623346.056379,9968122,88689,-0.089000000,0.069000000,0.258700000,0.016000000,0.004000000,-0.915000000,0.060000000,0.020000000,-29.040000000,0.282148348,0.915148622
1774623346.162153,9968229,88690,-0.105000000,-0.003300000,0.287000000,0.142000000,0.063000000,-0.965000000,0.990000000,1.950000000,-15.080000000,0.305622136,0.977424166
1774623346.269012,9968336,88691,-0.137700000,-0.073300000,0.304300000,-0.092000000,0.127000000,-0.966000000,7.820000000,1.000000000,1.470000000,0.341954193,0.978646514
1774623346.376009,9968443,88692,-0.176700000,-0.118300000,0.290700000,0.064000000,0.012000000,-1.859000000,5.220000000,62.620000000,15.660000000,0.360172556,1.860140048
1774623346.482689,9968549,88693,-0.213700000,-0.129000000,0.282700000,0.145000000,0.005000000,-0.965000000,8.580000000,5.010000000,32.270000000,0.377131250,0.975845787
1774623346.588729,9968655,88694,-0.251000000,-0.120700000,0.262000000,0.004000000,0.010000000,-1.968000000,16.640000000,3.920000000,0.350000000,0.382378726,1.968029471
1774623346.693312,9968762,88695,-0.275700000,-0.073300000,0.242000000,0.145000000,0.000000000,-1.983000000,64.500000000,9.790000000,0.240000000,0.374095416,1.988294244
1774623346.800287,9968867,88696,-0.288300000,-0.015700000,0.217000000,0.211000000,0.002000000,-0.991000000,19.730000000,4.180000000,51.300000000,0.361181921,1.013215673
1774623346.907767,9968974,88697,-0.275700000,0.042300000,0.189300000,0.065000000,0.014000000,-0.902000000,10.080000000,4.430000000,55.210000000,0.337096826,0.904447345
1774623347.015871,9969081,88698,-0.261000000,0.102300000,0.166000000,-0.046000000,0.086000000,-0.898000000,8.790000000,4.440000000,47.980000000,0.325794859,0.903280687
1774623347.120627,9969187,88699,-0.230300000,0.138300000,0.146000000,0.071000000,0.034000000,-1.000000000,9.060000000,8.310000000,39.210000000,0.305746594,1.003093714
1774623347.224833,9969293,88700,-0.193300000,0.190700000,0.103700000,0.192000000,0.000000000,-0.990000000,15.770000000,4.210000000,46.990000000,0.290663156,1.008446330
1774623347.332289,9969399,88701,-0.160700000,0.219000000,0.083700000,0.082000000,0.134000000,-0.875000000,6.410000000,0.060000000,15.690000000,0.284237893,0.888991001
1774623347.437329,9969505,88702,-0.156000000,0.218300000,0.073300000,0.016000000,0.064000000,-0.933000000,3.980000000,0.490000000,-9.770000000,0.278143452,0.935329354
1774623347.545547,9969612,88703,-0.162300000,0.225700000,0.077700000,0.469000000,0.000000000,-0.991000000,15.660000000,2.200000000,-30.720000000,0.288650429,1.096376760
1774623347.647847,9969716,88704,-0.170000000,0.210700000,0.092300000,0.000000000,-0.031000000,-0.968000000,1.950000000,0.980000000,-21.980000000,0.286031082,0.968496257
1774623347.755981,9969823,88705,-0.165700000,0.188300000,0.125300000,0.442000000,0.016000000,-0.930000000,1.840000000,29.450000000,-31.040000000,0.280380937,1.029815517
1774623347.861210,9969927,88706,-0.159000000,0.158300000,0.168700000,0.428000000,0.009000000,-0.936000000,0.730000000,2.110000000,-31.270000000,0.280712629,1.029252641
1774623347.965563,9970034,88707,-0.139300000,0.132300000,0.200000000,0.003000000,0.000000000,-0.961000000,0.260000000,0.000000000,-58.600000000,0.277322520,0.961004683
1774623348.072002,9970139,88708,-0.132000000,0.084000000,0.236000000,0.016000000,0.141000000,-0.930000000,0.520000000,2.460000000,-29.030000000,0.283153669,0.940764051
1774623348.179671,9970245,88709,-0.117000000,0.038300000,0.268300000,0.001000000,0.000000000,-0.982000000,7.830000000,0.530000000,-1.950000000,0.295196172,0.982000509
1774623348.284525,9970352,88710,-0.115300000,-0.017300000,0.290700000,0.008000000,0.001000000,-0.986000000,3.960000000,0.530000000,7.820000000,0.313208988,0.986032961
1774623348.389742,9970458,88711,-0.132700000,-0.061700000,0.299300000,0.026000000,0.000000000,-1.873000000,32.520000000,0.980000000,15.660000000,0.333161627,1.873180450
1774623348.496625,9970564,88712,-0.144300000,-0.078300000,0.302700000,-0.081000000,0.001000000,-0.969000000,7.890000000,1.960000000,24.920000000,0.344355441,0.972380070
1774623348.603122,9970670,88713,-0.165000000,-0.114000000,0.297300000,0.004000000,0.008000000,-0.959000000,15.640000000,4.400000000,33.710000000,0.358619980,0.959041709
1774623348.708170,9970776,88714,-0.185000000,-0.143300000,0.295700000,0.199000000,0.016000000,-1.000000000,16.140000000,62.530000000,34.320000000,0.377092005,1.019733789
1774623348.815862,9970882,88715,-0.206700000,-0.142300000,0.291700000,0.031000000,0.018000000,-1.858000000,8.060000000,4.930000000,47.510000000,0.384789644,1.858345770
1774623348.920780,9970988,88716,-0.231000000,-0.102300000,0.280300000,0.019000000,-0.015000000,-0.975000000,15.890000000,16.610000000,47.480000000,0.377351799,0.975300467
1774623349.028596,9971094,88717,-0.250300000,-0.058300000,0.256000000,0.018000000,0.078000000,-0.990000000,11.730000000,0.030000000,47.150000000,0.362746440,0.993231091
1774623349.133585,9971200,88718,-0.254300000,0.005700000,0.235300000,0.000000000,0.002000000,-0.910000000,35.660000000,0.550000000,43.980000000,0.346506955,0.910002198
1774623349.238725,9971307,88719,-0.242000000,0.050700000,0.216000000,0.048000000,0.195000000,-0.996000000,15.700000000,0.980000000,31.440000000,0.328314620,1.016043798
1774623349.345346,9971412,88720,-0.220300000,0.085700000,0.192700000,-0.047000000,0.016000000,-1.000000000,7.840000000,0.530000000,24.430000000,0.304975196,1.001231741
1774623349.452366,9971519,88721,-0.198300000,0.125700000,0.186700000,0.062000000,0.006000000,-0.980000000,7.940000000,7.710000000,0.210000000,0.299967115,0.981977596
1774623349.557227,9971623,88722,-0.195000000,0.144000000,0.168700000,0.002000000,0.001000000,-0.984000000,4.150000000,0.000000000,0.400000000,0.295331492,0.984002541
1774623349.661936,9971730,88723,-0.183300000,0.146700000,0.167000000,0.161000000,0.004000000,-0.929000000,8.120000000,0.060000000,0.370000000,0.288112443,0.942856299
1774623349.767005,9971836,88724,-0.180700000,0.122300000,0.192000000,0.001000000,0.000000000,-1.874000000,3.430000000,0.000000000,-3.340000000,0.290643734,1.874000267
1774623349.875586,9971942,88725,-0.175000000,0.118300000,0.197700000,0.000000000,0.006000000,-1.838000000,3.910000000,1.020000000,-3.890000000,0.289318475,1.838009793
1774623349.982582,9972049,88726,-0.177300000,0.118300000,0.198700000,0.001000000,0.039000000,-1.000000000,4.410000000,1.950000000,0.610000000,0.291396414,1.000760711
1774623350.089065,9972155,88727,-0.177300000,0.110700000,0.211000000,0.002000000,0.020000000,-1.866000000,7.820000000,0.120000000,-7.670000000,0.297002997,1.866108250
1774623350.193541,9972261,88728,-0.170700000,0.105700000,0.215300000,0.070000000,0.032000000,-1.858000000,4.150000000,0.140000000,-7.280000000,0.294389317,1.859593504
