timestamp,dt_ms,laser_front_cm,sonar_rear_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,status_msg
1772262569.5779555,,999,76.6,False,False,-0.004,0.002,1.005,1.005,0.3,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262569.8437335,,999,77.0,False,False,-0.021,0.011,1.003,1.003,0.16,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262570.1025445,,999,77.0,False,False,-0.02,0.012,1.017,1.017,0.11,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262570.3673477,,999,76.6,False,False,-0.037,-0.005,1.123,1.124,-0.39,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262570.632535,,999,82.8,False,False,-0.032,-0.003,1.099,1.1,-0.2,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262570.8906364,,999,76.7,False,False,-0.004,-0.013,1.036,1.036,-0.07,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262571.1553144,,999,76.6,False,False,0.026,-0.007,0.949,0.95,-0.06,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262571.4200478,,76.5,77.0,False,False,-0.014,0.001,1.026,1.026,-0.02,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262571.677922,,999,76.7,False,False,-0.06,0.005,1.138,1.14,-0.44,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262571.9434662,,999,76.6,False,False,-0.03,0.008,1.077,1.078,-0.32,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262572.2108228,,999,76.6,False,False,-0.021,-0.003,1.033,1.033,0.0,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262572.4701385,,999,77.0,False,False,0.005,-0.007,0.995,0.995,0.41,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262572.7357366,,104.8,76.6,False,False,-0.034,0.006,1.063,1.064,-0.09,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262573.000485,,999,76.6,False,False,-0.014,-0.014,1.047,1.047,-0.12,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262573.2580273,,999,76.6,False,False,-0.029,-0.009,1.11,1.111,-0.23,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262573.5236595,,999,76.7,False,False,-0.052,-0.011,1.105,1.106,0.03,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262573.7879114,,999,76.6,False,False,0.024,0.006,0.976,0.976,-0.49,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262574.0461888,,999,76.6,False,False,-0.023,0.002,1.024,1.024,0.0,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262574.3112001,,999,76.6,False,False,-0.049,0.004,1.122,1.123,-0.17,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262574.5762768,,999,76.6,False,False,-0.007,0.008,0.981,0.981,-0.05,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262574.8351395,,999,76.6,False,False,0.009,0.005,0.968,0.968,0.26,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262575.0999465,,999,76.6,False,False,-0.061,0.002,1.12,1.122,-0.35,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262575.3643985,,999,77.0,False,False,-0.002,-0.01,1.044,1.044,-0.25,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262575.6221645,,999,76.6,False,False,-0.008,-0.001,1.012,1.012,0.32,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262575.8872716,,999,78.3,False,False,-0.058,-0.002,1.124,1.126,-0.12,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262576.1526246,,999,76.6,False,False,-0.028,0.008,1.094,1.095,-0.63,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262576.4119918,,999,76.6,False,False,-0.02,0.002,1.005,1.005,-0.18,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262576.6770186,,999,76.1,False,False,-0.014,-0.004,1.027,1.027,0.0,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262576.9423618,,999,77.0,False,False,-0.058,0.008,1.129,1.131,-0.2,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262577.2003865,,999,76.6,False,False,-0.019,-0.011,1.027,1.027,0.44,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262577.4659846,,999,76.5,False,False,-0.029,0.016,1.02,1.021,0.15,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262577.7307343,,85.3,76.6,False,False,-0.022,0.009,1.006,1.006,0.39,0.0,12.21,5.82,,,,,,,,,,,,,,,,
